date,platform,item_id,sku_id,product_name,brand_name,brand_raw,seller_name,seller_id,category,subcategory,platform_category_ids,retail_price,promo_price,discount_pct,currency,units_sold,units_sold_raw,rating,review_count,in_stock,is_sponsored,location,url,query_bucket,collected_at,prev_date,prev_promo,prev_retail,promo_change,promo_change_pct,discount_pct_change,units_sold_delta,prev_sku_id,variant_changed
2026-08-23,lazada,1097942958,2492726242,ตรีผลา น้ําสมุนไพรจากสวนออร์แกนิกศรีษะเกษ มีคุณประโยชน์จาก มะขาวป้อม สมอพิเภก และ สมอไทย เหมาะสําหรับผู้อยากมีผิวสวย เลือดลม เหมภูมิคุ้มกัน ลดอาการท้องผูก รสชาติเปรี้ยวน้อยกว่า น้ํา Apple Cider เพราะใช้จุรินทรียProbiotic ในการสกัด,ปัจจัยชีวี,ปัจจัยชีวี,Isan-Quartier,4730,Supplements,Detoxification,10100869|4087|8977|8989,699.0,399.0,42.9,THB,846.0,846 ชิ้น,4.81,201,no,no,นครพนม,https://www.lazada.co.th/products/pdp-i1097942958.html,shop-liver-detox|probiotic,2026-08-23T22:28:16,2026-08-20,399.0,699.0,0.0,0.0,0.0,0.0,2492726242,no
2026-08-23,lazada,1341894900,16093991795,"โปรไบโอติก 10 สายพันธุ์ Probiotic 10, 20 Billion CFU 60 หรือ 120 Capsules (Puritan's Pride®)",Puritan's Pride,Puritan's Pride,iBody Thailand,100089265,Supplements,Digestive Care,10100869|4087|8977|8982,1000.0,859.0,14.1,THB,176.0,176 ชิ้น,4.94,52,yes,no,เชียงใหม่,https://www.lazada.co.th/products/pdp-i1341894900.html,"shop-digestion-and-absorption|probiotic,catalog|probiotic",2026-08-23T22:28:16,2026-08-20,859.0,1000.0,0.0,0.0,0.0,0.0,16093991795,no
2026-08-23,lazada,150239072,174960770,Probac โปรแบคเซเว่น 30 ซอง,PROBAC7,PROBAC7,Watsons,37592,Supplements,Well Being Sets,10100869|4087|8977|6971,1959.0,1959.0,0.0,THB,551.0,551 ชิ้น,4.96,141,yes,no,พระนครศรีอยุธยา,https://www.lazada.co.th/products/pdp-i150239072.html,shop-well-being-sets|probiotic,2026-08-23T22:28:16,2026-08-16,1959.0,1959.0,0.0,0.0,0.0,2.0,174960770,no
2026-08-23,lazada,151396855,176986425,💥ส่งฟรี !!💥(ซื้อคู่=60 แคปซูล) VITAMORES Probio-Capsule ผลิตภัณฑ์เสริมอาหาร โพไบโอติก ชนิดแคปซูล เพื่อนแท้ของระบบทางเดินอาหาร 1 กระปุก บรรจุ 30 แคปซูล,Vitamores,Vitamores,Vita Supplements,100076682,Supplements,Digestive Care,10100869|4087|8977|8982,698.0,295.0,57.7,THB,2100.0,2.1K ชิ้น,4.97,958,yes,no,สระบุรี,https://www.lazada.co.th/products/pdp-i151396855.html,shop-digestion-and-absorption|probiotic,2026-08-23T22:28:16,2026-08-17,260.0,698.0,35.0,13.5,-5.1,0.0,176986425,no
2026-08-23,lazada,1539154505,4097322071,Combif AR 1 กล่อง 10 caps - ผลิตภัณฑ์เสริมโพรไบโอติก ช่วยให้ระบบขับถ่ายเป็นปกติ,Combif,Combif,LAB Pharmacy,100182111387,Supplements,Digestive Care,10100869|4087|8977|8982,260.0,260.0,0.0,THB,31.0,31 ชิ้น,4.75,4,yes,no,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i1539154505.html,shop-digestion-and-absorption|โพรไบโอติก,2026-08-23T22:28:16,,,,,,,,,no
2026-08-23,lazada,1587548807,24238302714,(หมดอายุ 11/2026) TOTAL:flora Probiotic MeridLife โททอล:ฟลอร่า โพรไบโอติก เมอริดไลฟ์ ขับถ่าย ท้องผูก,Total:flora,Total:flora,MeridLifeOfficial,100187463020,Supplements,Digestive Care,10100869|4087|8977|8982,1199.0,699.0,41.7,THB,151.0,151 ชิ้น,5.0,38,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i1587548807.html,shop-digestion-and-absorption|โพรไบโอติก,2026-08-23T22:28:16,2026-08-20,699.0,1199.0,0.0,0.0,0.0,0.0,24238302714,no
2026-08-23,lazada,16047431611,126234252855,แพ็คเกจใหม่ !! ล็อตใหม่ล่าสุด Nature’s Bounty Probiotic 10 จํานวน 70 แคปซูล นําเข้าอเมริกา USA,Unbranded,No Brand,108byploy,100200882209,Supplements,Immunity,10100869|4087|8977|8987,1200.0,1200.0,0.0,THB,,,,0,yes,no,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i16047431611.html,shop-immune-system|probiotic,2026-08-23T22:28:16,2026-08-20,1200.0,1200.0,0.0,0.0,0.0,,126234252855,no
2026-08-23,lazada,16047498658,126232081640,"โปรไบโอติกผู้หญิงโดยดูแลน้องสาว Trunature Women's Daily Probiotic 25,000 ล้านตัว 90เม็ดอเมริกา",Trunature,Trunature,108byploy,100200882209,Supplements,Women's Health,10100869|4087|8977|8995,1050.0,1050.0,0.0,THB,,,,0,yes,no,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i16047498658.html,"shop-women-and-menopause|probiotic,catalog|probiotic",2026-08-23T22:28:16,2026-08-20,1050.0,1050.0,0.0,0.0,0.0,,126232081640,no
2026-08-23,lazada,16050182619,126251744852,พร้อมส่ง NatureBell Probiotic 200 Billion CFU – 40 Strains Per Serving | 240 Veggie,Naturebelle,Naturebelle,Healthiest Warehouse,101430848422,Supplements,Multivitamins,10100869|4087|8977|6966,1610.0,1610.0,0.0,THB,,,,0,yes,no,นนทบุรี,https://www.lazada.co.th/products/pdp-i16050182619.html,shop-multivitamin-supplements|probiotic,2026-08-23T22:28:16,2026-08-20,1610.0,1610.0,0.0,0.0,0.0,,126251744852,no
2026-08-23,lazada,16051689938,126269037395,Prozeus 15 โพรซิอุส 15 โพรไบโอติก+พรีไบโอติก ชนิดผง กลิ่นลิ้นจี่ / Prozeus Pink / รีเจน (30 ซอง) [DKP],Prozeus,Prozeus,DKP_Pharma,1000143447,Supplements,Multivitamins,10100869|4087|8977|6966,1075.74,963.75,10.4,THB,,,,0,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i16051689938.html,shop-multivitamin-supplements|probiotic,2026-08-23T22:28:16,,,,,,,,,no
2026-08-23,lazada,16051767423,126270202284,17 Probiotics CEO Factory (ผลิตภัณฑ์เสริมอาหาร),CEO,CEO,CEO Factory Shop,100394768207,Supplements,Well Being Sets,10100869|4087|8977|6971,690.0,640.0,7.2,THB,678.0,678 ชิ้น,4.97,334,yes,no,สงขลา,https://www.lazada.co.th/products/pdp-i16051767423.html,"shop-well-being-sets|probiotic,catalog|probiotic",2026-08-23T22:28:16,2026-08-20,640.0,690.0,0.0,0.0,0.0,10.0,126270202284,no
2026-08-23,lazada,16051837300,126271090118,Prozeus 15 โพรซิอุส 15 โพรไบโอติก+พรีไบโอติก ชนิดผง กลิ่นลิ้นจี่ / Prozeus Pink / รีเจน (30 ซอง) [WE],Prozeus,Prozeus,Wecare4U-Healthcare,100223292865,Supplements,Multivitamins,10100869|4087|8977|6966,1054.64,944.85,10.4,THB,,,,0,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i16051837300.html,shop-multivitamin-supplements|probiotic,2026-08-23T22:28:16,,,,,,,,,no
2026-08-23,lazada,16058491862,126388562479,SET DLACTO Probiotic ถ่ายตรงเวลา สุขภาพน้องสาว อารมณ์ดี,MANA,MANA,MANA NATURE,100462080924,Supplements,Digestive Care,10100869|4087|8977|8982,1380.0,620.0,55.1,THB,12.0,12 ชิ้น,5.0,6,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i16058491862.html,"shop-digestion-and-absorption|probiotic,catalog|probiotic",2026-08-23T22:28:16,2026-08-20,620.0,1380.0,0.0,0.0,0.0,0.0,126388562479,no
2026-08-23,lazada,16059451370,126398085909,โปรว้าว [2 แถม 2] Probiova โพรไบโอว่า Probiotic โพรไบโอติก ดีท็อกซ์ ลําไส้ ท้องผูก ท้องอืด ผิว สวย,PRESIVA,PRESIVA,PRNN Store,100493760701,Supplements,Immunity,10100869|4087|8977|8987,490.0,490.0,0.0,THB,27.0,27 ชิ้น,5.0,7,yes,no,พิษณุโลก,https://www.lazada.co.th/products/pdp-i16059451370.html,"shop-immune-system|probiotic,catalog|probiotic",2026-08-23T22:28:16,2026-08-20,408.31,490.0,81.69,20.0,-16.7,2.0,126398085909,no
2026-08-23,lazada,16059607027,126403242234,Life Plus ProBio18 [2g x 20 Sachets] ไลฟ์ พลัส ผลิตภัณฑ์เสริมอาหาร โพรไบโอ18,life plus,life plus,Konvy,1000147187,Supplements,All Probiotic (search),10100869|4087|8977|8981,320.0,309.0,3.4,THB,226.0,226 ชิ้น,5.0,62,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i16059607027.html,catalog|probiotic,2026-08-23T22:28:16,2026-08-20,309.0,320.0,0.0,0.0,0.0,3.0,126403242234,no
